gcs,min_latency,num_shards,throughput
0,0.0023992061614990234,8,2000
0,0.0022356510162353516,8,2000
0,0.002285003662109375,8,2000
0,0.002229452133178711,8,2000
0,0.002458810806274414,8,2000
0,0.0025947093963623047,8,2000
0,0.0022873878479003906,8,2000
0,0.0022249221801757812,8,2000
0,0.002356290817260742,8,2000
0,0.0023717880249023438,8,2000
-1,0.0018191337585449219,8,2000
-1,0.0018780231475830078,8,2000
-1,0.0018725395202636719,8,2000
-1,0.0018601417541503906,8,2000
-1,0.0018301010131835938,8,2000
-1,0.0021126270294189453,8,2000
-1,0.0020368099212646484,8,2000
-1,0.0018131732940673828,8,2000
-1,0.001863718032836914,8,2000
-1,0.0018312931060791016,8,2000
0,0.028761863708496094,1,2000
0,0.0279390811920166,1,2000
0,0.024030685424804688,1,2000
0,0.032129526138305664,1,2000
0,0.029626846313476562,1,2000
0,0.021251678466796875,1,2000
0,0.027987241744995117,1,2000
0,0.030805110931396484,1,2000
0,0.015979766845703125,1,2000
0,0.0259246826171875,1,2000
-1,0.0019271373748779297,1,2000
-1,0.0020058155059814453,1,2000
-1,0.0019156932830810547,1,2000
-1,0.001791238784790039,1,2000
-1,0.0018200874328613281,1,2000
-1,0.001795053482055664,1,2000
-1,0.0018062591552734375,1,2000
-1,0.0017366409301757812,1,2000
-1,0.0020270347595214844,1,2000
-1,0.0019621849060058594,1,2000
0,0.0032656192779541016,2,2000
0,0.007161855697631836,2,2000
0,0.0052950382232666016,2,2000
0,0.0033898353576660156,2,2000
0,0.004523515701293945,2,2000
0,0.006712436676025391,2,2000
0,0.004654645919799805,2,2000
0,0.009710073471069336,2,2000
0,0.020264863967895508,2,2000
0,0.011789083480834961,2,2000
-1,0.0018818378448486328,2,2000
-1,0.0020661354064941406,2,2000
-1,0.0019402503967285156,2,2000
-1,0.002164602279663086,2,2000
-1,0.00179290771484375,2,2000
-1,0.0018401145935058594,2,2000
-1,0.0018374919891357422,2,2000
-1,0.0017986297607421875,2,2000
-1,0.0017898082733154297,2,2000
-1,0.001874685287475586,2,2000
0,0.009230375289916992,4,2000
0,0.017740964889526367,4,2000
0,0.021331071853637695,4,2000
0,0.017659425735473633,4,2000
0,0.01399993896484375,4,2000
0,0.023374557495117188,4,2000
0,0.02085709571838379,4,2000
0,0.0052645206451416016,4,2000
0,0.013407230377197266,4,2000
0,0.0031125545501708984,4,2000
-1,0.0017757415771484375,4,2000
-1,0.001959562301635742,4,2000
-1,0.0017514228820800781,4,2000
-1,0.001947164535522461,4,2000
-1,0.0017940998077392578,4,2000
-1,0.0018641948699951172,4,2000
-1,0.0018932819366455078,4,2000
-1,0.0018210411071777344,4,2000
-1,0.0018343925476074219,4,2000
-1,0.0017657279968261719,4,2000
0,0.0022280216217041016,16,2000
0,0.00223541259765625,16,2000
0,0.0022346973419189453,16,2000
0,0.0025091171264648438,16,2000
0,0.0024805068969726562,16,2000
0,0.0023779869079589844,16,2000
0,0.0022368431091308594,16,2000
0,0.0022935867309570312,16,2000
0,0.002682209014892578,16,2000
0,0.002636432647705078,16,2000
-1,0.0019021034240722656,16,2000
-1,0.0017507076263427734,16,2000
-1,0.0018711090087890625,16,2000
-1,0.0019354820251464844,16,2000
-1,0.0018486976623535156,16,2000
-1,0.0019655227661132812,16,2000
-1,0.0017452239990234375,16,2000
-1,0.00188446044921875,16,2000
-1,0.0018401145935058594,16,2000
-1,0.0017769336700439453,16,2000
