num_shards,num_raylets,target_throughput,throughput
1,1,5000,4966.263852410541
1,1,6000,5949.891346105281
1,1,7000,6902.977771397567
1,1,8000,7841.40965539222
1,1,9000,8609.40205621916
1,1,10000,-1
1,2,10000,9932.753101933931
1,2,12000,11881.377071053268
1,2,14000,13789.536087002838
1,2,16000,15674.872005064253
1,2,18000,-1
1,2,20000,-1
1,4,20000,19859.072475359728
1,4,24000,23758.053376522956
1,4,28000,27509.998871214197
1,4,32000,31400.989800658594
1,4,36000,-1
1,4,40000,-1
1,8,40000,39686.90611118976
1,8,48000,47519.56354280424
1,8,56000,55020.3189189409
1,8,64000,-1
1,8,72000,-1
1,8,80000,-1
1,12,60000,59450.515916843586
1,12,72000,71012.46663242904
1,12,84000,-1
1,12,96000,-1
1,12,108000,-1
1,12,120000,-1
2,1,5000,4964.205864638546
2,1,6000,5940.148980856411
2,1,7000,6903.905059651614
2,1,8000,7845.0810908709245
2,1,9000,8608.883148772311
2,1,10000,-1
2,2,10000,9924.701196069931
2,2,12000,11885.826407108365
2,2,14000,13825.527419527825
2,2,16000,15650.940222536583
2,2,18000,-1
2,2,20000,-1
2,4,20000,19847.924409353953
2,4,24000,23735.121379702283
2,4,28000,27566.94252999082
2,4,32000,31354.546534331388
2,4,36000,-1
2,4,40000,-1
2,8,40000,39679.81988143285
2,8,48000,47527.4628187094
2,8,56000,55152.679229127214
2,8,64000,-1
2,8,72000,-1
2,8,80000,-1
2,12,60000,59451.81118063905
2,12,72000,71120.72632726352
2,12,84000,-1
2,12,96000,-1
2,12,108000,-1
2,12,120000,-1
4,1,5000,4966.458351035568
4,1,6000,5943.961532573549
4,1,7000,6912.926407664373
4,1,8000,7845.827458235572
4,1,9000,8661.446509955409
4,1,10000,-1
4,2,10000,9921.752638331976
4,2,12000,11894.865461707328
4,2,14000,13787.802331498287
4,2,16000,15665.142227146513
4,2,18000,-1
4,2,20000,-1
4,4,20000,19848.52271460386
4,4,24000,23736.90134864526
4,4,28000,27547.852057082317
4,4,32000,-1
4,4,36000,-1
4,4,40000,-1
4,8,40000,39692.910431641416
4,8,48000,47532.62104401719
4,8,56000,55090.48471811205
4,8,64000,-1
4,8,72000,-1
4,8,80000,-1
4,12,60000,59481.702890385204
4,12,72000,71024.14429274175
4,12,84000,-1
4,12,96000,-1
4,12,108000,-1
4,12,120000,-1
8,1,5000,4968.224795854105
8,1,6000,5951.092179666768
8,1,7000,6897.992345378725
8,1,8000,7824.8919101901465
8,1,9000,-1
8,1,10000,-1
8,2,10000,9925.978722506481
8,2,12000,11876.91702366748
8,2,14000,13783.977463417164
8,2,16000,15686.807940244475
8,2,18000,-1
8,2,20000,-1
8,4,20000,19845.110416473504
8,4,24000,23790.13100738982
8,4,28000,27557.90537089959
8,4,32000,-1
8,4,36000,-1
8,4,40000,-1
8,8,40000,39687.28445251251
8,8,48000,47476.139899943846
8,8,56000,55097.29364835758
8,8,64000,-1
8,8,72000,-1
8,8,80000,-1
8,12,60000,59415.10816406504
8,12,72000,71040.52313471168
8,12,84000,-1
8,12,96000,-1
8,12,108000,-1
8,12,120000,-1
16,1,5000,4967.441691684265
16,1,6000,5950.62874036732
16,1,7000,6892.700000370575
16,1,8000,7831.701209204327
16,1,9000,-1
16,1,10000,-1
16,2,10000,9912.183743773025
16,2,12000,11885.274888693428
16,2,14000,13794.79067161841
16,2,16000,15561.176935547765
16,2,18000,-1
16,2,20000,-1
16,4,20000,19817.42629329677
16,4,24000,23735.566976533944
16,4,28000,27553.788586888797
16,4,32000,-1
16,4,36000,-1
16,4,40000,-1
16,8,40000,39693.068903265135
16,8,48000,47462.90159087858
16,8,56000,55052.60816535796
16,8,64000,-1
16,8,72000,-1
16,8,80000,-1
16,12,60000,59440.776386149126
16,12,72000,71153.3157076899
16,12,84000,-1
16,12,96000,-1
16,12,108000,-1
16,12,120000,-1
